"filename", "language", "Markdown", "YAML", "Shell Script", "JSON", "Dart", "JavaScript", "Ruby", "Swift", "HTML", "C++", "PostCSS", "XML", "comment", "blank", "total"
"/Users/marie/Documents/GBO-Updated/ios/GBOWidget/Assets.xcassets/WidgetBackground.colorset/Contents.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/marie/Documents/GBO-Updated/ios/GBOWidget/GBOWidget.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 10, 17, 89
"/Users/marie/Documents/GBO-Updated/ios/GBOWidget/GBOWidgetBundle.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 3, 19
"/Users/marie/Documents/GBO-Updated/ios/GBOWidget/GBOWidgetControl.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 7, 15, 78
"/Users/marie/Documents/GBO-Updated/ios/GBOWidget/GBOWidgetLiveActivity.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 4, 17, 122
"/Users/marie/Documents/GBO-Updated/ios/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 10, 47
"/Users/marie/Documents/GBO-Updated/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 640, 0, 0, 0, 0, 44, 146, 830
"/Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"/Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/Contents.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/gbo_icon.dataset/Contents.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/marie/Documents/GBO-Updated/ios/Runner/Assets.xcassets/logo.imageset/Contents.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/marie/Documents/GBO-Updated/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"/Users/marie/Documents/GBO-Updated/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 1, 30
"/Users/marie/Documents/GBO-Updated/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/marie/Documents/GBO-Updated/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"/Users/marie/Documents/GBO-Updated/ios/SETUP_INSTRUCTIONS.md", "Markdown", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 91
"/Users/marie/Documents/GBO-Updated/lib/data/german_cities.dart", "Dart", 0, 0, 0, 0, 2222, 0, 0, 0, 0, 0, 0, 0, 6, 14, 2242
"/Users/marie/Documents/GBO-Updated/lib/firebase_config.dart", "Dart", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 6, 59
"/Users/marie/Documents/GBO-Updated/lib/main.dart", "Dart", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 10, 18, 182
"/Users/marie/Documents/GBO-Updated/lib/models/city.dart", "Dart", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 1, 11, 114
"/Users/marie/Documents/GBO-Updated/lib/models/club.dart", "Dart", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 6, 100
"/Users/marie/Documents/GBO-Updated/lib/models/coach_auth_request.dart", "Dart", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 9, 161
"/Users/marie/Documents/GBO-Updated/lib/models/court.dart", "Dart", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 3, 7, 104
"/Users/marie/Documents/GBO-Updated/lib/models/delegate.dart", "Dart", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 2, 11, 109
"/Users/marie/Documents/GBO-Updated/lib/models/device.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/marie/Documents/GBO-Updated/lib/models/donation.dart", "Dart", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 6, 94
"/Users/marie/Documents/GBO-Updated/lib/models/game.dart", "Dart", 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 2, 26, 277
"/Users/marie/Documents/GBO-Updated/lib/models/game_event.dart", "Dart", 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 24, 244
"/Users/marie/Documents/GBO-Updated/lib/models/game_squad.dart", "Dart", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 17, 202
"/Users/marie/Documents/GBO-Updated/lib/models/kanban_board.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 6, 86
"/Users/marie/Documents/GBO-Updated/lib/models/kanban_task.dart", "Dart", 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 17, 299
