Date : 2025-12-04 10:54:59
Directory : /Users/marie/Documents/GBO-Updated
Total : 362 files,  18888 codes, 912 comments, 1969 blanks, all 21769 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| ../GitHub/GBO-Updated/lib/services                                                                                  |         22 |     -6,422 |       -731 |     -1,119 |     -8,272 |
| ../GitHub/GBO-Updated/lib/utils                                                                                     |          4 |       -487 |        -41 |        -56 |       -584 |
| ../GitHub/GBO-Updated/lib/widgets                                                                                   |         21 |    -11,439 |       -359 |       -825 |    -12,623 |
| ../GitHub/GBO-Updated/test                                                                                          |          1 |        -14 |        -10 |         -7 |        -31 |
| ../GitHub/GBO-Updated/web                                                                                           |          2 |       -199 |        -22 |        -25 |       -246 |
| .github                                                                                                             |          2 |         45 |          4 |          4 |         53 |
| .github/workflows                                                                                                   |          2 |         45 |          4 |          4 |         53 |
| GBO-Updated                                                                                                         |          1 |         12 |          0 |          2 |         14 |
| ios                                                                                                                 |         33 |      1,571 |        132 |        305 |      2,008 |
| ios (Files)                                                                                                         |          2 |        106 |          2 |         30 |        138 |
| ios/AppWidgetTest                                                                                                   |          9 |        258 |         42 |         53 |        353 |
| ios/AppWidgetTest (Files)                                                                                           |          5 |        195 |         42 |         49 |        286 |
| ios/AppWidgetTest/Assets.xcassets                                                                                   |          4 |         63 |          0 |          4 |         67 |
| ios/AppWidgetTest/Assets.xcassets (Files)                                                                           |          1 |          6 |          0 |          1 |          7 |
| ios/AppWidgetTest/Assets.xcassets/AccentColor.colorset                                                              |          1 |         11 |          0 |          1 |         12 |
| ios/AppWidgetTest/Assets.xcassets/AppIcon.appiconset                                                                |          1 |         35 |          0 |          1 |         36 |
| ios/AppWidgetTest/Assets.xcassets/WidgetBackground.colorset                                                         |          1 |         11 |          0 |          1 |         12 |
| ios/Flutter                                                                                                         |          1 |         11 |          6 |          2 |         19 |
| ios/GBO.icon                                                                                                        |          1 |         81 |          0 |          0 |         81 |
| ios/GBOWidget                                                                                                       |          9 |        300 |         34 |         60 |        394 |
| ios/GBOWidget (Files)                                                                                               |          5 |        237 |         34 |         56 |        327 |
| ios/GBOWidget/Assets.xcassets                                                                                       |          4 |         63 |          0 |          4 |         67 |
| ios/GBOWidget/Assets.xcassets (Files)                                                                               |          1 |          6 |          0 |          1 |          7 |
| ios/GBOWidget/Assets.xcassets/AccentColor.colorset                                                                  |          1 |         11 |          0 |          1 |         12 |
| ios/GBOWidget/Assets.xcassets/AppIcon.appiconset                                                                    |          1 |         35 |          0 |          1 |         36 |
| ios/GBOWidget/Assets.xcassets/WidgetBackground.colorset                                                             |          1 |         11 |          0 |          1 |         12 |
| ios/Runner                                                                                                          |         10 |        808 |         46 |        156 |      1,010 |
| ios/Runner (Files)                                                                                                  |          2 |        641 |         44 |        147 |        832 |
| ios/Runner/Assets.xcassets                                                                                          |          6 |        103 |          0 |          7 |        110 |
| ios/Runner/Assets.xcassets (Files)                                                                                  |          1 |          6 |          0 |          1 |          7 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                       |          1 |         38 |          0 |          1 |         39 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                     |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Assets.xcassets/gbo_icon.dataset                                                                         |          1 |         12 |          0 |          1 |         13 |
| ios/Runner/Assets.xcassets/logo.imageset                                                                            |          1 |         21 |          0 |          1 |         22 |
| ios/Runner/Base.lproj                                                                                               |          2 |         64 |          2 |          2 |         68 |
| ios/RunnerTests                                                                                                     |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                 |        139 |     90,755 |      3,798 |      7,212 |    101,765 |
| lib (Files)                                                                                                         |          2 |        204 |         13 |         24 |        241 |
| lib/data                                                                                                            |          1 |      2,222 |          6 |         14 |      2,242 |
| lib/models                                                                                                          |         24 |      3,694 |         89 |        349 |      4,132 |
| lib/screens                                                                                                         |         55 |     63,850 |      2,355 |      4,474 |     70,679 |
| lib/services                                                                                                        |         26 |      7,534 |        860 |      1,337 |      9,731 |
| lib/utils                                                                                                           |          8 |        718 |         79 |         98 |        895 |
| lib/widgets                                                                                                         |         23 |     12,533 |        396 |        916 |     13,845 |
| live-graphics                                                                                                       |         12 |        536 |          5 |         74 |        615 |
| live-graphics (Files)                                                                                               |          2 |        536 |          5 |         64 |        605 |
| live-graphics/graphics                                                                                              |         10 |          0 |          0 |         10 |         10 |
| live-graphics/graphics (Files)                                                                                      |          4 |          0 |          0 |          4 |          4 |
| live-graphics/graphics/css                                                                                          |          5 |          0 |          0 |          5 |          5 |
| live-graphics/graphics/js                                                                                           |          1 |          0 |          0 |          1 |          1 |
| test                                                                                                                |          1 |          8 |          8 |          5 |         21 |
| web                                                                                                                 |          3 |        252 |         31 |         36 |        319 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                            | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/marie/Documents/GBO-Updated/.github/workflows/firebase-hosting-merge.yml                                     | YAML         |         22 |          2 |          2 |         26 |
| /Users/marie/Documents/GBO-Updated/.github/workflows/firebase-hosting-pull-request.yml                              | YAML         |         23 |          2 |          2 |         27 |
| /Users/marie/Documents/GBO-Updated/APP_ENCRYPTION_DOCUMENTATION.md                                                  | Markdown     |        102 |          0 |         37 |        139 |
| /Users/marie/Documents/GBO-Updated/APP_ENCRYPTION_DOCUMENTATION_SHORT.md                                            | Markdown     |         12 |          0 |          8 |         20 |
| /Users/marie/Documents/GBO-Updated/APP_STORE_SPLASH_SCREEN_GUIDE.md                                                 | Markdown     |        236 |          0 |         58 |        294 |
| /Users/marie/Documents/GBO-Updated/BUILD_SCRIPTS.md                                                                 | Markdown     |         67 |          0 |         18 |         85 |
| /Users/marie/Documents/GBO-Updated/ENCRYPTION_SETUP.md                                                              | Markdown     |         88 |          0 |         38 |        126 |
| /Users/marie/Documents/GBO-Updated/GBO-Updated/pubspec.yaml                                                         | YAML         |         12 |          0 |          2 |         14 |
| /Users/marie/Documents/GBO-Updated/README.md                                                                        | Markdown     |         65 |          0 |         25 |         90 |
| /Users/marie/Documents/GBO-Updated/WALLPAPER_SPLASH_GUIDE.md                                                        | Markdown     |        169 |          0 |         48 |        217 |
| /Users/marie/Documents/GBO-Updated/analysis_options.yaml                                                            | YAML         |          3 |         22 |          4 |         29 |
| /Users/marie/Documents/GBO-Updated/build.sh                                                                         | Shell Script |        148 |         14 |         24 |        186 |
| /Users/marie/Documents/GBO-Updated/build_and_bump.sh                                                                | Shell Script |         57 |         10 |         12 |         79 |
| /Users/marie/Documents/GBO-Updated/build_android.sh                                                                 | Shell Script |         59 |         11 |         13 |         83 |
| /Users/marie/Documents/GBO-Updated/bump_major.sh                                                                    | Shell Script |          7 |          5 |          5 |         17 |
| /Users/marie/Documents/GBO-Updated/bump_minor.sh                                                                    | Shell Script |          7 |          5 |          5 |         17 |
| /Users/marie/Documents/GBO-Updated/bump_version.sh                                                                  | Shell Script |          7 |          5 |          5 |         17 |
| /Users/marie/Documents/GBO-Updated/deploy.sh                                                                        | Shell Script |         31 |          4 |          9 |         44 |
| /Users/marie/Documents/GBO-Updated/firebase.json                                                                    | JSON         |         27 |          0 |          1 |         28 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/AppIntent.swift                                                | Swift        |          8 |          7 |          4 |         19 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/AppWidgetTest.swift                                            | Swift        |         62 |         10 |         17 |         89 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/AppWidgetTestBundle.swift                                      | Swift        |         10 |          6 |          3 |         19 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/AppWidgetTestControl.swift                                     | Swift        |         56 |          7 |         15 |         78 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/AppWidgetTestLiveActivity.swift                                | Swift        |         59 |         12 |         10 |         81 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/Assets.xcassets/AccentColor.colorset/Contents.json             | JSON         |         11 |          0 |          1 |         12 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/Assets.xcassets/AppIcon.appiconset/Contents.json               | JSON         |         35 |          0 |          1 |         36 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/Assets.xcassets/Contents.json                                  | JSON         |          6 |          0 |          1 |          7 |
| /Users/marie/Documents/GBO-Updated/ios/AppWidgetTest/Assets.xcassets/WidgetBackground.colorset/Contents.json        | JSON         |         11 |          0 |          1 |         12 |
| /Users/marie/Documents/GBO-Updated/ios/Flutter/Flutter 2.podspec                                                    | Ruby         |         11 |          6 |          2 |         19 |
| /Users/marie/Documents/GBO-Updated/ios/GBO.icon/icon.json                                                           | JSON         |         81 |          0 |          0 |         81 |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/AppIntent.swift                                                    | Swift        |          8 |          7 |          4 |         19 |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/Assets.xcassets/AccentColor.colorset/Contents.json                 | JSON         |         11 |          0 |          1 |         12 |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/Assets.xcassets/AppIcon.appiconset/Contents.json                   | JSON         |         35 |          0 |          1 |         36 |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/Assets.xcassets/Contents.json                                      | JSON         |          6 |          0 |          1 |          7 |
| /Users/marie/Documents/GBO-Updated/ios/GBOWidget/Assets.xcassets/WidgetBackground.colorset/Contents.json            | JSON         |         11 |          0 |          1 |         12 |
